,Page_URL,Hotel,Category,Rating,Address,Contact,Price,Amenities,Image_URL,Location
0,"https://www.google.com/maps/place/Quest+Hotel+San+Denpasar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd2472da60574ab:0x1441c746432a3b6d!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6772351!4d115.1904643!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F11b6zrxb8f?hl=en&entry=ttu",Quest Hotel San Denpasar,3-star hotel,4.5,"
Jl. Mahendradatta No.93, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117","
(0361) 4717000",Rp 77.594, Free Wi-Fi Paid breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Spa Fitness center,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEfwsdUdMxwoV23MVyksubMe5Iji3UE7gzKBRP1Ow05O8aN2h3pTcjoZOCjFjjDFejMUMWvpiMOZ_1XKubjgLd3l2AyULVCdoRy8GN-GF33RG5cVoxiCV0YoGVGapl2UIkuinPxfm5NrLy-z5DRKFtZXaJ_QBEQoZ1nP3jJ7rYTODlbRFAi3bJm=w408-h270-k-no,Denpasar Barat
1,"https://www.google.com/maps/place/Bali+Paradise+City+Hotel+Denpasar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd24735dc335eab:0x1d3e589320cf87c4!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6736953!4d115.1770667!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F1v3hxcwp?hl=en&entry=ttu",Bali Paradise City Hotel Denpasar,3-star hotel,4.0,"
Jl. Teuku Umar Barat no. 234, Br. Pengubengan Kangin, Krobokan, Badung, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","
0819-9966-1385",Rp 273.641, Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipMFQU326gQS3OVxh-Q9-kuJ2MRIDU2CmP22wCsM=w426-h240-k-no,Denpasar Barat
2,"https://www.google.com/maps/place/ibis+Styles+Bali+Denpasar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd23a2b84372ee9:0xdbdde46d112221e9!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.679195!4d115.205479!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F1vp17bcs?hl=en&entry=ttu",ibis Styles Bali Denpasar,3-star hotel,4.2,"
Jl. Teuku Umar No.183, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80114","
(0361) 228228",Rp 446.723, Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipPsthS5sz_LBWd1QsXjLtfU2HDeQBgaQxeHPCmI=w408-h306-k-no,Denpasar Barat
3,"https://www.google.com/maps/place/Hotel+Neo+Denpasar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd238b40d58cc77:0xafd1fe85c3b06f1c!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6365186!4d115.1929582!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F1s04wps_w?hl=en&entry=ttu",Hotel Neo Denpasar,3-star hotel,4.5,"
Jl. Gatot Subroto Barat, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80117","
(0361) 438333",Rp 320.925, Free Wi-Fi Breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Spa Fitness center,https://lh5.googleusercontent.com/p/AF1QipN5Tw6-mwtcdqb3yOvTZchExlZ929UwVnzKCDCp=w408-h306-k-no,Denpasar Barat
4,"https://www.google.com/maps/place/Grand+Mirah+Boutique+Hotel/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd24099957a1c5f:0xdd85eecda1ed0ff2!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.655401!4d115.218602!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F1tfttcyl?hl=en&entry=ttu",Grand Mirah Boutique Hotel,3-star hotel,4.4,"
Jl. Kaliasem No.1, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232","
(0361) 4723330",Rp 275.103, Free Wi-Fi Free breakfast Free parking Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Spa Fitness center,https://lh5.googleusercontent.com/p/AF1QipPDbHmI6JQxdXj7ii-nwadw9I28fwLUWl8K1l-f=w408-h272-k-no,Denpasar Barat
5,"https://www.google.com/maps/place/Golden+Tulip+Essential+Denpasar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd238b9faf6cae3:0x23802d5cf7269e3a!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.635993!4d115.1931458!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F11b6c7zrth?hl=en&entry=ttu",Golden Tulip Essential Denpasar,3-star hotel,4.2,"
Jl. Gatot Subroto Barat No.101, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80118","
(0361) 8495777",Rp 365.269, Free Wi-Fi,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGmvzjnEWPtHh9CsuLWISEldZ0DFOYgJnFjWB6z2GRXUSl8rjNAVJd34PzikfZ9YEbXodil2vkOX207qs0jMUJsNzm1ziDaOVgT4pFnLT0muRO5p-rybzfYZ2YpZEtkFOMzi7aVar1hwrLCbbrE4onO3E8mYmlnplHfWsPTKmaD7hFKn3PkZiOi=w408-h268-k-no,Denpasar Barat
6,"https://www.google.com/maps/place/Amaris+Hotel+Teuku+Umar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd240c531d90361:0xb3c50d7f3b25f35f!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6809145!4d115.2029876!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F11b67mv004?hl=en&entry=ttu",Amaris Hotel Teuku Umar,2-star hotel,4.2,"
Jl. Teuku Umar No.139, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113","
(0361) 9382020",Rp 106.570, Free Wi-Fi Breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Fitness center,https://lh5.googleusercontent.com/p/AF1QipP5r0hf-FBZ_XoFhSGgsraUkqwISSTZhXXVE-0L=w408-h275-k-no,Denpasar Barat
7,"https://www.google.com/maps/place/Choice+Stay+Hotel+Denpasar/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd240c3587c04bf:0xfccdda1cce71f87e!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6803018!4d115.2066447!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F11b86h4c4l?hl=en&entry=ttu",Choice Stay Hotel Denpasar,3-star hotel,4.4,"
Jalan Pulau Kawe No. 40, Dauh Puri Klod, Denpasar Barat, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80114","
(0361) 4722272",Rp 317.187, Free Wi-Fi Free breakfast Free parking Pool Air-conditioned Laundry service Pet-friendly Kid-friendly Restaurant Kitchen in all rooms Airport shuttle Fitness center,https://lh5.googleusercontent.com/p/AF1QipOg8GAMzOs43k7gvrCjvdDoZ05Z9br6i8V7GzRs=w408-h271-k-no,Denpasar Barat
8,"https://www.google.com/maps/place/The+Salak+Style+Hotel/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd24748ae303d6f:0x2f36ce2f04da2fdc!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6679446!4d115.1791698!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F11b7vsq49w?hl=en&entry=ttu",The Salak Style Hotel,3-star hotel,4.2,"
Jl. Gunung Salak No.78, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117","
0811-1113-0078",Rp 237.161, Free Wi-Fi Free breakfast Free parking Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle,https://lh5.googleusercontent.com/p/AF1QipNSK10yOMl2f-HkUGN3WbPWPzrPgSR-ETXXA6kI=w408-h272-k-no,Denpasar Barat
9,"https://www.google.com/maps/place/Dee+Mansion/@-8.7076788,115.1595859,12z/data=!4m18!1m6!2m5!1shotel+in+Denpasar+Barat,+Denpasar+City,+Bali!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd240cde744c739:0x96e1b94666b381d7!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.6780142!4d115.1920671!15sCixob3RlbCBpbiBEZW5wYXNhciBCYXJhdCwgRGVucGFzYXIgQ2l0eSwgQmFsaZIBBWhvdGVs4AEA!16s%2Fg%2F11bc7fjrx9?hl=en&entry=ttu",Dee Mansion,3-star hotel,4.2,"
Jl. Pura Demak IV No.57, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119","
(0361) 8495358",Rp 155.311, Free Wi-Fi Paid breakfast Free parking Outdoor pool Air-conditioned Laundry service Business center Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Fitness center Smoke-free,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGzeDUwpYx4utVZNAb5v46jPmh1D28AsR-cJ4iy9MNw94F5RYsFZJsNh3hlKgtgAvMXUy2anGIioWpPQ0ah5ISTL9aeiWCqH-W9p6rpG7Tj567NHGyY4Mn_NakY37hOpyqBwxzoa-g6hI0-MaqZ7k2xxVzDgO9hmhD1ofx02-oWxAiY3sKQy_8rMw=w408-h271-k-no,Denpasar Barat
